,Document directory,Format,Comic_title,Untranslated Title,Source Title,Author,Translator,Author_origin,Author_country (current),Global region,Country,Language,Original Language (Translations),Publisher,Genre ,"Comic ""style""",Audience,Demographic,Publication Date,Pages#,Chapters Qty,Chapter/Issue#,Completed,Description,Website,CCL,Permission,File,Notes,Country again,Title again,Spacer,MAST Notes,Uploaded to MAST,1.1: Panels & Panels,1.2: Characters,1.2.1 Gender,1.3: Carriers,2.1: Framing,2.2: Continuity Annotations,2.2: Continuity Relations,2.3: Motion Events,2.4: ICS,2.5: Character Emotions,2.5.1 Panel Emotions,2.6 Panel Templates,2.7 Panel Borders,2.8 POV,2.9 Onoma,3.1 Situation,3.2 Depth,3.3 Gesture
NC,441b7c23852b1a05d8460b14a56a4ae4,Webcomic,Princesha Argjiro,,,Bena Grëmi,,Albania,Albania,Europe,Albania,Albanian,,Tapas,Historical fiction,,Everyone,,2019,,,,,,https://tapas.io/episode/1561953,,,,,Albania,Princesha Argjiro,1,,NC-2023S,SG,,,,IS+,NC,, +,KH,,NC,NC+,SG,,MM,DM,,KY
NC,,Graphic Novel,The Yankee Comandante,,,Gani Yakupi,,Albania,Albania,Europe,Albania,English,,Europe Comics,Historical fiction,,Teen/adult,,2019,,,,,,,,,,,Albania,The Yankee Comandante,1,,NC-2023S,NC,AK,PB,,IS+,BK,,AK+,,LP,LZ+,NC+,SG,,MM,DM,RHE,
NC,,Webcomic,The Dream Book,,SMAC!,es deux,,Albania,Albania,Europe,Albania,,,SMAC Web Magazine,Supernatural,Manga,Everyone,,2015,,,,,,https://smacmag.net/v/sma15/the-dream-book-by-poletti-denis/#0,,,,,Albania,The Dream Book,1,,NC-2023S,AS,,,,NC+,BK,, +,,,SD+,NC+,SG,,MM,MaM,,KY
SG,,Graphic Novel,The Legend of Tteryel,,,Marika Mangaka DZ,,Algeria,Algeria,Africa,Algeria,,,SMA,"Supernatural, Action",Manga,,,2020,19,,,,,,,,,,Algeria,The Legend of Tteryel,1,,NC-2023S,TH,,,,TH+,TH,, +,,,XZ,NC+,,,MM,,,
NC,,Short story,Identidade Abandonada,,AfriComics!,Anita Sambanje & Kiala Miguel,,"
",Angola,Africa,Angola,Portuguese,,Goethe Institut,Political commentary,,Teen/adult,,2021,,,,,,https://www.goethe.de/prj/afc/de/cmc/aga/anita-sambanje--kiala-miguel.html,,,,,Angola,Identidade Abandonada,1,,NC-2023S,TH,OS+,PB,,TH+,AK,, +,,OS,JB*,NC+,SG,,MM,DM,,
NC,,Short story,A Resistencia Da Pena,,AfriComics!,Fábio José Guimarães Neves & Caetano Carvalho,,Angola,Angola,Africa,Angola,Portuguese,,Goethe Institut,Political commentary,,Teen/adult,,2021,,,,,,https://www.goethe.de/prj/afc/de/cmc/aga/fbg.html,,,,,Angola,A Resistencia Da Pena,1,,NC-2023S,TH,OS,SE,,TH+,,,AK+,,LP,JB,NC+,SG,,MM,DM,,
NC,,Short story,ust want,,AfriComics!,Nza Costa & Manuel Kiala Afonso,,Angola,Angola,Africa,Angola,Portuguese,,Goethe Institut,Slice of life,,Teen/adult,,2021,,,,,,https://www.goethe.de/prj/afc/de/cmc/aga/epo.html,,,,,Angola,ust want,1,,NC-2023S,TH,OS,SE,,TH+,AK,, +,,LP,SD,NC+,SG,,MM,,,
LK,,Comic Magazine,Soy Tóxico,,Fierro 22,"Diego Parés, Daniel de La Veiga, Pablo Parés",,Argentina,Argentina,South America,Argentina,Spanish,,La Pagina,Indy,Superhero,Adult,,2008,5,1,1,Completed,,,,Private,Fierro 22.pdf,Page 13-18 (pdf page number),Argentina,Soy Tóxico,1,,NC-2022F,TH,,,,TH+,,, +,PG,,JW*,NC+,,,MM,,,
LK,,Comic Magazine,El Hipnotizador,,Fierro 22,Juan Sáenz Valiente,,Argentina,Argentina,South America,Argentina,Spanish,,La Pagina,Indy,Superhero,Adult,,2008,7,1,1,Completed,,,,Private,Fierro 22.pdf,Page 4-11 (pdf page number),Argentina,El Hipnotizador,1,,NC-2022F,TH,,,,SG+,,, +,,,JW+,NC+,FM,,MM,ND,,
FC,,Comic book,CHC – Episodio 1,,,"Blas Bigatti, Pedro Lobato",,Argentina,Argentina,South America,Argentina,Spanish,Spanish,Revista Exégesis,Drama,Drama,Teen/Adult,,2014,26,3,1,No,Action and war in United Kingdomraine,colaboradores.exegesis@gmail.com / https://revista-exegesis.com/colaboraciones/,,Sharing,Revista_Exegesis_chc-v1,,Argentina,CHC – Episodio 1,1,,NC-2022F,GC,,,,TH+,,, +,,,JB,NC+,SG,,MM,,,
